network,mask,binary_network,mask_binary,interface
69.202.247.28/8,255.0.0.0,01000101110010101111011100011100,11111111000000000000000000000000,ethernet14
121.166.63.159/8,255.0.0.0,01111001101001100011111110011111,11111111000000000000000000000000,ethernet26
195.46.192.151/24,255.255.255.0,11000011001011101100000010010111,11111111111111111111111100000000,ethernet3
220.227.47.170/24,255.255.255.0,11011100111000110010111110101010,11111111111111111111111100000000,ethernet47
123.202.142.17/8,255.0.0.0,01111011110010101000111000010001,11111111000000000000000000000000,ethernet35
221.233.26.210/24,255.255.255.0,11011101111010010001101011010010,11111111111111111111111100000000,ethernet23
154.212.240.220/16,255.255.0.0,10011010110101001111000011011100,11111111111111110000000000000000,ethernet23
179.55.129.223/16,255.255.0.0,10110011001101111000000111011111,11111111111111110000000000000000,ethernet30
207.79.242.5/24,255.255.255.0,11001111010011111111001000000101,11111111111111111111111100000000,ethernet30
216.179.227.101/24,255.255.255.0,11011000101100111110001101100101,11111111111111111111111100000000,ethernet27
112.27.74.152/8,255.0.0.0,01110000000110110100101010011000,11111111000000000000000000000000,ethernet31
96.253.206.38/8,255.0.0.0,01100000111111011100111000100110,11111111000000000000000000000000,ethernet40
132.187.247.233/16,255.255.0.0,10000100101110111111011111101001,11111111111111110000000000000000,ethernet17
173.164.226.117/16,255.255.0.0,10101101101001001110001001110101,11111111111111110000000000000000,ethernet27
105.214.234.171/8,255.0.0.0,01101001110101101110101010101011,11111111000000000000000000000000,ethernet45
188.52.123.251/16,255.255.0.0,10111100001101000111101111111011,11111111111111110000000000000000,ethernet33
201.206.154.193/24,255.255.255.0,11001001110011101001101011000001,11111111111111111111111100000000,ethernet3
196.122.186.79/24,255.255.255.0,11000100011110101011101001001111,11111111111111111111111100000000,ethernet33
48.56.29.62/8,255.0.0.0,00110000001110000001110100111110,11111111000000000000000000000000,ethernet47
55.158.155.196/8,255.0.0.0,00110111100111101001101111000100,11111111000000000000000000000000,ethernet36
108.89.217.138/8,255.0.0.0,01101100010110011101100110001010,11111111000000000000000000000000,ethernet31
89.169.10.250/8,255.0.0.0,01011001101010010000101011111010,11111111000000000000000000000000,ethernet2
2.117.6.100/8,255.0.0.0,00000010011101010000011001100100,11111111000000000000000000000000,ethernet2
140.43.1.27/16,255.255.0.0,10001100001010110000000100011011,11111111111111110000000000000000,ethernet20
172.119.118.156/16,255.255.0.0,10101100011101110111011010011100,11111111111111110000000000000000,ethernet22
202.206.14.191/24,255.255.255.0,11001010110011100000111010111111,11111111111111111111111100000000,ethernet22
131.4.206.120/16,255.255.0.0,10000011000001001100111001111000,11111111111111110000000000000000,ethernet4
209.166.119.232/24,255.255.255.0,11010001101001100111011111101000,11111111111111111111111100000000,ethernet43
13.101.251.165/8,255.0.0.0,00001101011001011111101110100101,11111111000000000000000000000000,ethernet34
149.60.86.102/16,255.255.0.0,10010101001111000101011001100110,11111111111111110000000000000000,ethernet39
113.94.254.172/8,255.0.0.0,01110001010111101111111010101100,11111111000000000000000000000000,ethernet43
10.161.67.174/8,255.0.0.0,00001010101000010100001110101110,11111111000000000000000000000000,ethernet32
